Label,Temperatura,Humedad,ResistenciaGas
Aire neutral,29.34,42.75,162.95
Aire neutral,29.35,42.75,162.49
Aire neutral,29.38,42.76,161.26
Aire neutral,29.39,42.76,162.02
Aire neutral,29.4,42.74,161.87
Aire neutral,29.41,42.76,161.87
Aire neutral,29.41,42.74,162.02
Aire neutral,29.41,42.74,161.87
Aire neutral,29.42,42.74,162.33
Aire neutral,29.42,42.73,162.02
Aire neutral,29.42,42.72,161.57
Aire neutral,29.42,42.71,162.02
Aire neutral,29.44,42.71,161.87
Aire neutral,29.46,42.69,161.72
Aire neutral,29.47,42.69,161.26
Aire neutral,29.47,42.66,161.72
Aire neutral,29.46,42.66,162.02
Aire neutral,29.46,42.65,161.72
Aire neutral,29.46,42.64,160.8
Aire neutral,29.47,42.64,161.57
Aire neutral,29.48,42.64,161.57
Aire neutral,29.46,42.62,161.57
Aire neutral,29.45,42.6,161.87
Aire neutral,29.44,42.6,161.72
Aire neutral,29.43,42.61,162.02
Aire neutral,29.43,42.61,162.49
Aire neutral,29.43,42.64,162.18
Aire neutral,29.45,42.62,161.57
Aire neutral,29.46,42.63,161.11
Aire neutral,29.46,42.61,162.18
Aire neutral,29.47,42.6,162.18
Aire neutral,29.45,42.58,161.87
Aire neutral,29.45,42.59,162.49
Aire neutral,29.43,42.58,162.49
Aire neutral,29.43,42.59,162.33
Aire neutral,29.44,42.61,162.64
Aire neutral,29.46,42.59,162.02
Aire neutral,29.47,42.6,161.87
Aire neutral,29.48,42.59,161.57
Aire neutral,29.49,42.6,161.57
Aire neutral,29.5,42.56,161.41
Aire neutral,29.51,42.56,161.41
Aire neutral,29.52,42.54,161.72
Aire neutral,29.53,42.52,161.26
Aire neutral,29.54,42.49,161.26
Aire neutral,29.55,42.47,161.57
Aire neutral,29.55,42.45,161.41
Aire neutral,29.55,42.45,161.41
Aire neutral,29.56,42.43,161.41
Aire neutral,29.56,42.41,161.87
Aire neutral,29.56,42.41,161.72
Aire neutral,29.55,42.4,162.8
Aire neutral,29.55,42.39,162.02
Aire neutral,29.55,42.38,161.87
Aire neutral,29.55,42.37,162.49
Aire neutral,29.55,42.37,161.72
Aire neutral,29.56,42.36,162.18
Aire neutral,29.57,42.35,161.57
Aire neutral,29.58,42.35,162.02
Aire neutral,29.6,42.34,161.41
Aire neutral,29.61,42.33,161.87
Aire neutral,29.62,42.3,161.41
Aire neutral,29.63,42.29,161.72
Aire neutral,29.64,42.28,161.87
Aire neutral,29.66,42.26,161.57
Aire neutral,29.68,42.24,161.87
Aire neutral,29.7,42.2,161.57
Aire neutral,29.72,42.19,160.96
Aire neutral,29.75,42.16,160.96
Aire neutral,29.76,42.12,161.26
Aire neutral,29.77,42.08,161.26
Aire neutral,29.78,42.06,161.72
Aire neutral,29.79,42.02,160.65
Aire neutral,29.81,42.01,160.65
Aire neutral,29.83,41.97,161.26
Aire neutral,29.85,41.93,160.96
Aire neutral,29.86,41.9,161.41
Aire neutral,29.87,41.87,160.8
Aire neutral,29.89,41.85,160.8
Aire neutral,29.89,41.83,161.26
Aire neutral,29.91,41.79,160.65
Aire neutral,29.92,41.78,160.8
Aire neutral,29.91,41.71,160.96
Aire neutral,29.9,41.71,161.26
Aire neutral,29.9,41.69,161.11
Aire neutral,29.89,41.68,161.87
Aire neutral,29.88,41.67,161.72
Aire neutral,29.87,41.67,162.02
Aire neutral,29.86,41.66,162.18
Aire neutral,29.85,41.66,162.02
Aire neutral,29.84,41.66,161.87
Aire neutral,29.83,41.66,161.57
Aire neutral,29.84,41.67,161.57
Aire neutral,29.84,41.66,160.8
Aire neutral,29.85,41.67,162.02
Aire neutral,29.85,41.65,161.41
Aire neutral,29.84,41.65,161.72
