Label,Temperatura,Humedad,Presion,ResistenciaGas
Aire neutral,29.34,42.75,42949532.0,162.95
Aire neutral,29.35,42.75,42949532.0,162.49
Aire neutral,29.38,42.76,42949532.0,161.26
Aire neutral,29.39,42.76,42949532.0,162.02
Aire neutral,29.4,42.74,42949532.0,161.87
Aire neutral,29.41,42.76,42949532.0,161.87
Aire neutral,29.41,42.74,42949532.0,162.02
Aire neutral,29.41,42.74,42949532.0,161.87
Aire neutral,29.42,42.74,42949532.0,162.33
Aire neutral,29.42,42.73,42949532.0,162.02
Aire neutral,29.42,42.72,42949532.0,161.57
Aire neutral,29.42,42.71,42949532.0,162.02
Aire neutral,29.44,42.71,42949532.0,161.87
Aire neutral,29.46,42.69,42949532.0,161.72
Aire neutral,29.47,42.69,42949532.0,161.26
Aire neutral,29.47,42.66,42949532.0,161.72
Aire neutral,29.46,42.66,42949532.0,162.02
Aire neutral,29.46,42.65,42949532.0,161.72
Aire neutral,29.46,42.64,42949532.0,160.8
Aire neutral,29.47,42.64,42949532.0,161.57
Aire neutral,29.48,42.64,42949532.0,161.57
Aire neutral,29.46,42.62,42949532.0,161.57
Aire neutral,29.45,42.6,42949532.0,161.87
Aire neutral,29.44,42.6,42949532.0,161.72
Aire neutral,29.43,42.61,42949532.0,162.02
Aire neutral,29.43,42.61,42949532.0,162.49
Aire neutral,29.43,42.64,42949532.0,162.18
Aire neutral,29.45,42.62,42949532.0,161.57
Aire neutral,29.46,42.63,42949532.0,161.11
Aire neutral,29.46,42.61,42949532.0,162.18
Aire neutral,29.47,42.6,42949532.0,162.18
Aire neutral,29.45,42.58,42949532.0,161.87
Aire neutral,29.45,42.59,42949532.0,162.49
Aire neutral,29.43,42.58,42949532.0,162.49
Aire neutral,29.43,42.59,42949532.0,162.33
Aire neutral,29.44,42.61,42949532.0,162.64
Aire neutral,29.46,42.59,42949532.0,162.02
Aire neutral,29.47,42.6,42949532.0,161.87
Aire neutral,29.48,42.59,42949532.0,161.57
Aire neutral,29.49,42.6,42949532.0,161.57
Aire neutral,29.5,42.56,42949532.0,161.41
Aire neutral,29.51,42.56,42949532.0,161.41
Aire neutral,29.52,42.54,42949532.0,161.72
Aire neutral,29.53,42.52,42949532.0,161.26
Aire neutral,29.54,42.49,42949532.0,161.26
Aire neutral,29.55,42.47,42949532.0,161.57
Aire neutral,29.55,42.45,42949532.0,161.41
Aire neutral,29.55,42.45,42949532.0,161.41
Aire neutral,29.56,42.43,42949532.0,161.41
Aire neutral,29.56,42.41,42949532.0,161.87
Aire neutral,29.56,42.41,42949532.0,161.72
Aire neutral,29.55,42.4,42949532.0,162.8
Aire neutral,29.55,42.39,42949532.0,162.02
Aire neutral,29.55,42.38,42949532.0,161.87
Aire neutral,29.55,42.37,42949532.0,162.49
Aire neutral,29.55,42.37,42949532.0,161.72
Aire neutral,29.56,42.36,42949532.0,162.18
Aire neutral,29.57,42.35,42949532.0,161.57
Aire neutral,29.58,42.35,42949532.0,162.02
Aire neutral,29.6,42.34,42949532.0,161.41
Aire neutral,29.61,42.33,42949532.0,161.87
Aire neutral,29.62,42.3,42949532.0,161.41
Aire neutral,29.63,42.29,42949532.0,161.72
Aire neutral,29.64,42.28,42949532.0,161.87
Aire neutral,29.66,42.26,42949532.0,161.57
Aire neutral,29.68,42.24,42949532.0,161.87
Aire neutral,29.7,42.2,42949532.0,161.57
Aire neutral,29.72,42.19,42949532.0,160.96
Aire neutral,29.75,42.16,42949532.0,160.96
Aire neutral,29.76,42.12,42949532.0,161.26
Aire neutral,29.77,42.08,42949532.0,161.26
Aire neutral,29.78,42.06,42949532.0,161.72
Aire neutral,29.79,42.02,42949532.0,160.65
Aire neutral,29.81,42.01,42949532.0,160.65
Aire neutral,29.83,41.97,42949532.0,161.26
Aire neutral,29.85,41.93,42949532.0,160.96
Aire neutral,29.86,41.9,42949532.0,161.41
Aire neutral,29.87,41.87,42949532.0,160.8
Aire neutral,29.89,41.85,42949532.0,160.8
Aire neutral,29.89,41.83,42949532.0,161.26
Aire neutral,29.91,41.79,42949532.0,160.65
Aire neutral,29.92,41.78,42949532.0,160.8
Aire neutral,29.91,41.71,42949532.0,160.96
Aire neutral,29.9,41.71,42949532.0,161.26
