Label,Temperatura,Humedad,ResistenciaGas
Cafe espresso,30.47,37.08,49.78
Cafe espresso,30.47,37.14,50.36
Cafe espresso,30.47,37.18,50.63
Cafe espresso,30.47,37.2,50.57
Cafe espresso,30.47,37.22,51.15
Cafe espresso,30.46,37.21,51.96
Cafe espresso,30.47,37.18,51.9
Cafe espresso,30.47,37.17,52.86
Cafe espresso,30.47,37.17,52.05
Cafe espresso,30.47,37.14,51.09
Cafe espresso,30.47,37.12,51.21
Cafe espresso,30.47,37.12,50.69
Cafe espresso,30.47,37.14,50.57
Cafe espresso,30.47,37.14,50.39
Cafe espresso,30.47,37.14,50.04
Cafe espresso,30.48,37.16,51.15
Cafe espresso,30.48,37.18,50.42
Cafe espresso,30.48,37.17,50.6
Cafe espresso,30.48,37.16,49.63
Cafe espresso,30.48,37.14,49.89
Cafe espresso,30.49,37.14,49.6
Cafe espresso,30.49,37.17,50.33
Cafe espresso,30.49,37.17,51.12
Cafe espresso,30.49,37.16,50.57
Cafe espresso,30.49,37.14,50.75
Cafe espresso,30.49,37.1,50.78
Cafe espresso,30.49,37.06,50.63
Cafe espresso,30.49,37.0,49.81
Cafe espresso,30.49,36.98,50.25
Cafe espresso,30.49,36.98,49.72
Cafe espresso,30.49,36.98,49.54
Cafe espresso,30.49,36.98,49.52
Cafe espresso,30.49,36.96,48.7
Cafe espresso,30.49,36.95,49.15
Cafe espresso,30.49,36.99,48.98
Cafe espresso,30.49,37.0,48.84
Cafe espresso,30.5,36.94,46.61
Cafe espresso,30.5,36.91,46.56
Cafe espresso,30.5,36.94,48.23
Cafe espresso,30.51,36.99,48.78
Cafe espresso,30.51,37.05,50.04
Cafe espresso,30.51,37.09,49.4
Cafe espresso,30.51,37.11,49.49
Cafe espresso,30.51,37.06,48.12
Cafe espresso,30.51,37.03,48.89
Cafe espresso,30.51,37.01,48.98
Cafe espresso,30.51,37.02,49.17
Cafe espresso,30.51,37.05,51.03
Cafe espresso,30.51,37.12,51.58
Cafe espresso,30.51,37.19,52.24
Cafe espresso,30.51,37.19,51.27
Cafe espresso,30.51,37.13,50.87
Cafe espresso,30.51,37.08,50.57
Cafe espresso,30.52,37.11,51.03
Cafe espresso,30.52,37.13,52.18
Cafe espresso,30.52,37.17,52.47
Cafe espresso,30.52,37.18,51.93
Cafe espresso,30.52,37.17,52.93
Cafe espresso,30.52,37.14,52.73
Cafe espresso,30.52,37.13,52.53
Cafe espresso,30.52,37.1,52.34
Cafe espresso,30.52,37.11,52.15
Cafe espresso,30.52,37.1,51.83
Cafe espresso,30.52,37.1,50.63
Cafe espresso,30.52,37.06,49.63
Cafe espresso,30.53,37.02,49.12
Cafe espresso,30.52,36.99,48.89
Cafe espresso,30.52,36.98,49.34
Cafe espresso,30.52,37.0,50.48
Cafe espresso,30.52,37.01,50.63
Cafe espresso,30.52,37.02,50.81
Cafe espresso,30.52,36.98,50.51
Cafe espresso,30.52,36.96,50.54
Cafe espresso,30.52,36.95,50.57
Cafe espresso,30.52,36.99,51.58
Cafe espresso,30.52,37.02,51.77
Cafe espresso,30.53,37.02,52.63
Cafe espresso,30.53,36.99,51.99
Cafe espresso,30.52,36.89,49.0
Cafe espresso,30.52,36.8,48.09
Cafe espresso,30.52,36.78,48.07
Cafe espresso,30.53,36.79,48.47
Cafe espresso,30.53,36.85,50.13
Cafe espresso,30.53,36.93,50.69
Cafe espresso,30.53,36.97,49.95
Cafe espresso,30.53,36.94,45.57
Cafe espresso,30.53,36.79,43.08
Cafe espresso,30.54,36.72,43.0
Cafe espresso,30.54,36.69,43.61
Cafe espresso,30.54,36.72,44.52
Cafe espresso,30.54,36.78,45.67
Cafe espresso,30.54,36.87,48.26
Cafe espresso,30.54,36.93,48.95
Cafe espresso,30.55,36.95,48.45
Cafe espresso,30.55,36.95,48.98
Cafe espresso,30.55,36.95,49.83
Cafe espresso,30.54,36.98,50.66
Cafe espresso,30.54,36.98,50.78
Cafe espresso,30.54,36.96,49.23
Cafe espresso,30.54,36.94,49.06
Cafe espresso,30.54,36.88,48.67
Cafe espresso,30.54,36.86,48.67
Cafe espresso,30.54,36.84,49.46
Cafe espresso,30.54,36.84,49.69
Cafe espresso,30.54,36.84,49.12
Cafe espresso,30.54,36.85,49.75
Cafe espresso,30.54,36.82,49.0
Cafe espresso,30.54,36.78,49.34
Cafe espresso,30.54,36.75,49.34
Cafe espresso,30.54,36.75,49.37
Cafe espresso,30.54,36.73,48.64
Cafe espresso,30.54,36.74,49.29
Cafe espresso,30.54,36.73,49.37
Cafe espresso,30.54,36.74,49.52
Cafe espresso,30.54,36.75,49.78
Cafe espresso,30.54,36.72,49.17
Cafe espresso,30.54,36.69,49.09
Cafe espresso,30.54,36.67,48.26
Cafe espresso,30.54,36.6,48.56
Cafe espresso,30.54,36.55,48.53
Cafe espresso,30.54,36.53,48.31
Cafe espresso,30.54,36.53,48.64
Cafe espresso,30.54,36.56,46.82
Cafe espresso,30.54,36.57,46.56
Cafe espresso,30.54,36.55,44.85
Cafe espresso,30.54,36.46,44.99
Cafe espresso,30.54,36.37,44.99
Cafe espresso,30.54,36.35,44.85
Cafe espresso,30.54,36.39,46.06
Cafe espresso,30.55,36.47,48.01
Cafe espresso,30.55,36.55,48.89
Cafe espresso,30.55,36.61,49.15
Cafe espresso,30.55,36.63,48.17
Cafe espresso,30.55,36.62,48.09
Cafe espresso,30.55,36.62,46.82
Cafe espresso,30.55,36.64,46.77
Cafe espresso,30.56,36.69,48.31
Cafe espresso,30.56,36.74,48.45
Cafe espresso,30.56,36.77,48.75
Cafe espresso,30.56,36.79,48.09
Cafe espresso,30.56,36.79,48.89
Cafe espresso,30.57,36.78,49.12
Cafe espresso,30.57,36.76,49.03
Cafe espresso,30.57,36.77,49.09
Cafe espresso,30.56,36.76,49.06
Cafe espresso,30.57,36.75,48.61
Cafe espresso,30.57,36.75,48.81
Cafe espresso,30.58,36.77,49.43
Cafe espresso,30.58,36.8,50.27
Cafe espresso,30.58,36.81,50.39
Cafe espresso,30.58,36.83,51.12
Cafe espresso,30.58,36.83,51.83
Cafe espresso,30.58,36.86,51.61
Cafe espresso,30.58,36.83,52.09
Cafe espresso,30.58,36.82,51.83
Cafe espresso,30.58,36.81,51.21
Cafe espresso,30.59,36.78,51.3
Cafe espresso,30.58,36.76,51.24
Cafe espresso,30.59,36.75,51.09
Cafe espresso,30.59,36.75,51.52
Cafe espresso,30.59,36.73,51.55
Cafe espresso,30.59,36.69,51.71
Cafe espresso,30.59,36.62,50.9
Cafe espresso,30.58,36.58,50.13
Cafe espresso,30.58,36.52,49.52
Cafe espresso,30.58,36.5,49.12
Cafe espresso,30.59,36.48,48.86
Cafe espresso,30.59,36.5,49.09
Cafe espresso,30.59,36.53,49.81
Cafe espresso,30.59,36.58,50.19
Cafe espresso,30.59,36.62,49.89
Cafe espresso,30.59,36.66,51.03
Cafe espresso,30.6,36.64,51.18
Cafe espresso,30.6,36.61,50.6
Cafe espresso,30.59,36.56,51.27
Cafe espresso,30.59,36.52,50.36
Cafe espresso,30.59,36.49,50.66
Cafe espresso,30.59,36.5,49.78
Cafe espresso,30.6,36.52,49.81
Cafe espresso,30.6,36.52,49.49
Cafe espresso,30.6,36.49,49.66
Cafe espresso,30.6,36.46,49.15
Cafe espresso,30.6,36.45,48.95
Cafe espresso,30.6,36.49,49.06
Cafe espresso,30.6,36.53,49.12
Cafe espresso,30.6,36.54,49.57
Cafe espresso,30.6,36.51,50.39
Cafe espresso,30.61,36.48,49.78
Cafe espresso,30.61,36.44,49.6
Cafe espresso,30.6,36.44,49.66
Cafe espresso,30.61,36.46,49.72
Cafe espresso,30.61,36.5,49.46
Cafe espresso,30.61,36.52,49.17
Cafe espresso,30.61,36.52,49.26
Cafe espresso,30.61,36.5,49.12
Cafe espresso,30.61,36.46,49.37
Cafe espresso,30.61,36.45,49.49
Cafe espresso,30.61,36.48,49.29
Cafe espresso,30.61,36.5,49.32
Cafe espresso,30.61,36.51,48.67
Cafe espresso,30.62,36.47,48.01
Cafe espresso,30.62,36.44,47.69
Cafe espresso,30.61,36.41,46.77
Cafe espresso,30.61,36.41,47.82
Cafe espresso,30.61,36.43,48.45
Cafe espresso,30.61,36.45,48.47
Cafe espresso,30.61,36.43,45.37
Cafe espresso,30.61,36.36,43.88
Cafe espresso,30.62,36.3,43.39
Cafe espresso,30.61,36.24,43.57
Cafe espresso,30.61,36.22,44.24
Cafe espresso,30.61,36.24,44.47
Cafe espresso,30.61,36.27,44.85
Cafe espresso,30.62,36.31,45.18
Cafe espresso,30.62,36.37,45.47
Cafe espresso,30.62,36.4,44.24
Cafe espresso,30.62,36.38,42.44
Cafe espresso,30.62,36.33,40.51
Cafe espresso,30.62,36.24,39.71
Cafe espresso,30.62,36.17,40.66
Cafe espresso,30.62,36.13,41.65
Cafe espresso,30.62,36.13,42.48
Cafe espresso,30.62,36.18,43.21
Cafe espresso,30.63,36.24,44.43
Cafe espresso,30.63,36.33,44.99
Cafe espresso,30.63,36.4,45.33
Cafe espresso,30.63,36.41,45.52
Cafe espresso,30.63,36.41,45.37
Cafe espresso,30.63,36.4,45.76
Cafe espresso,30.63,36.41,46.11
Cafe espresso,30.63,36.44,46.72
Cafe espresso,30.63,36.49,46.72
Cafe espresso,30.63,36.51,46.56
Cafe espresso,30.63,36.53,46.46
Cafe espresso,30.63,36.54,46.61
Cafe espresso,30.63,36.53,47.77
Cafe espresso,30.63,36.53,47.96
Cafe espresso,30.63,36.54,48.7
Cafe espresso,30.63,36.56,49.09
Cafe espresso,30.63,36.55,49.34
Cafe espresso,30.63,36.53,48.98
Cafe espresso,30.63,36.5,48.64
Cafe espresso,30.63,36.47,48.09
Cafe espresso,30.63,36.45,47.93
Cafe espresso,30.63,36.46,48.23
Cafe espresso,30.63,36.43,46.72
Cafe espresso,30.63,36.36,46.06
Cafe espresso,30.63,36.34,47.9
Cafe espresso,30.63,36.4,48.31
Cafe espresso,30.64,36.44,48.31
Cafe espresso,30.64,36.46,47.96
Cafe espresso,30.64,36.44,46.46
Cafe espresso,30.63,36.43,46.56
Cafe espresso,30.64,36.43,46.16
Cafe espresso,30.64,36.47,48.07
Cafe espresso,30.64,36.51,48.15
Cafe espresso,30.64,36.54,48.81
Cafe espresso,30.64,36.53,49.15
Cafe espresso,30.64,36.52,49.15
Cafe espresso,30.64,36.47,48.28
Cafe espresso,30.64,36.43,46.77
Cafe espresso,30.64,36.44,48.47
Cafe espresso,30.64,36.46,49.37
Cafe espresso,30.64,36.47,49.89
Cafe espresso,30.64,36.46,49.72
Cafe espresso,30.64,36.42,49.0
Cafe espresso,30.64,36.39,46.77
Cafe espresso,30.64,36.37,47.85
Cafe espresso,30.64,36.39,48.34
Cafe espresso,30.64,36.42,48.59
Cafe espresso,30.63,36.4,48.75
Cafe espresso,30.63,36.37,46.82
Cafe espresso,30.64,36.36,46.66
Cafe espresso,30.64,36.39,47.96
Cafe espresso,30.64,36.43,48.37
Cafe espresso,30.64,36.46,47.85
Cafe espresso,30.64,36.46,46.11
Cafe espresso,30.64,36.41,44.8
Cafe espresso,30.64,36.28,41.94
Cafe espresso,30.64,36.17,41.09
Cafe espresso,30.64,36.16,41.78
Cafe espresso,30.65,36.19,42.91
Cafe espresso,30.65,36.28,44.94
Cafe espresso,30.65,36.38,46.31
Cafe espresso,30.65,36.46,46.46
Cafe espresso,30.65,36.53,48.45
Cafe espresso,30.65,36.56,48.92
Cafe espresso,30.65,36.59,49.17
Cafe espresso,30.65,36.62,49.54
Cafe espresso,30.66,36.67,50.19
Cafe espresso,30.66,36.71,50.39
Cafe espresso,30.66,36.72,49.86
Cafe espresso,30.66,36.68,50.04
Cafe espresso,30.66,36.67,50.1
Cafe espresso,30.66,36.66,50.48
Cafe espresso,30.66,36.68,50.36
Cafe espresso,30.66,36.69,50.25
Cafe espresso,30.66,36.69,50.54
Cafe espresso,30.66,36.69,50.13
Cafe espresso,30.66,36.66,50.48
Cafe espresso,30.66,36.64,50.51
Cafe espresso,30.66,36.63,50.54
Cafe espresso,30.66,36.63,50.39
Cafe espresso,30.66,36.63,50.51
Cafe espresso,30.66,36.64,50.78
Cafe espresso,30.66,36.66,50.72
Cafe espresso,30.65,36.62,49.81
Cafe espresso,30.66,36.54,46.51
Cafe espresso,30.66,36.46,46.16
Cafe espresso,30.66,36.43,46.31
Cafe espresso,30.66,36.45,46.77
Cafe espresso,30.67,36.49,48.17
Cafe espresso,30.67,36.55,48.5
Cafe espresso,30.67,36.58,48.39
Cafe espresso,30.67,36.6,49.32
Cafe espresso,30.67,36.62,49.46
Cafe espresso,30.67,36.58,49.34
Cafe espresso,30.67,36.57,49.09
Cafe espresso,30.66,36.54,48.98
Cafe espresso,30.67,36.56,48.59
Cafe espresso,30.67,36.56,48.2
Cafe espresso,30.67,36.52,47.77
Cafe espresso,30.67,36.44,46.51
Cafe espresso,30.67,36.4,46.46
Cafe espresso,30.67,36.39,46.16
Cafe espresso,30.67,36.42,46.77
Cafe espresso,30.67,36.44,46.36
Cafe espresso,30.67,36.48,46.51
Cafe espresso,30.67,36.5,47.74
Cafe espresso,30.67,36.51,45.96
Cafe espresso,30.67,36.46,44.57
Cafe espresso,30.67,36.37,43.93
Cafe espresso,30.67,36.29,44.02
Cafe espresso,30.67,36.27,44.34
Cafe espresso,30.67,36.28,44.71
Cafe espresso,30.67,36.31,45.71
Cafe espresso,30.68,36.36,46.26
Cafe espresso,30.68,36.41,47.77
Cafe espresso,30.68,36.45,47.69
Cafe espresso,30.69,36.45,43.97
Cafe espresso,30.68,36.34,41.73
Cafe espresso,30.69,36.18,41.61
Cafe espresso,30.68,36.07,42.15
Cafe espresso,30.69,36.06,43.21
Cafe espresso,30.69,36.13,44.38
Cafe espresso,30.69,36.24,45.23
Cafe espresso,30.69,36.33,45.96
Cafe espresso,30.69,36.4,46.72
Cafe espresso,30.69,36.47,48.56
Cafe espresso,30.7,36.52,49.23
Cafe espresso,30.7,36.53,48.86
Cafe espresso,30.7,36.52,48.7
Cafe espresso,30.7,36.52,48.75
