Label,Temperatura,Humedad,ResistenciaGas
Manzanas,30.36,50.66,116.31
Manzanas,30.35,50.67,116.23
Manzanas,30.34,50.68,115.84
Manzanas,30.33,50.7,116.07
Manzanas,30.32,50.71,116.31
Manzanas,30.31,50.73,116.23
Manzanas,30.3,50.72,116.31
Manzanas,30.29,50.74,116.31
Manzanas,30.29,50.77,116.39
Manzanas,30.28,50.79,116.47
Manzanas,30.27,50.8,116.63
Manzanas,30.26,50.82,115.91
Manzanas,30.25,50.82,116.39
Manzanas,30.24,50.84,116.23
Manzanas,30.23,50.86,116.63
Manzanas,30.23,50.87,116.55
Manzanas,30.22,50.87,116.23
Manzanas,30.21,50.89,115.99
Manzanas,30.2,50.9,115.99
Manzanas,30.19,50.92,116.31
Manzanas,30.19,50.93,116.31
Manzanas,30.18,50.95,116.23
Manzanas,30.17,50.97,116.79
Manzanas,30.17,50.98,117.11
Manzanas,30.16,51.0,116.47
Manzanas,30.15,51.01,116.87
Manzanas,30.15,51.03,116.71
Manzanas,30.14,51.05,116.31
Manzanas,30.14,51.06,116.55
Manzanas,30.13,51.09,116.79
Manzanas,30.12,51.08,116.15
Manzanas,30.12,51.1,115.99
Manzanas,30.12,51.11,116.87
Manzanas,30.11,51.12,116.87
Manzanas,30.1,51.14,116.07
Manzanas,30.1,51.15,116.95
Manzanas,30.1,51.16,116.47
Manzanas,30.1,51.17,116.71
Manzanas,30.09,51.2,116.71
Manzanas,30.09,51.2,116.07
Manzanas,30.09,51.21,115.99
Manzanas,30.1,51.23,116.23
Manzanas,30.1,51.24,115.91
Manzanas,30.1,51.24,116.63
Manzanas,30.11,51.26,116.63
Manzanas,30.11,51.26,116.23
Manzanas,30.12,51.26,116.63
Manzanas,30.12,51.27,116.15
Manzanas,30.13,51.28,115.6
Manzanas,30.13,51.28,116.23
Manzanas,30.14,51.29,115.91
Manzanas,30.14,51.29,116.31
Manzanas,30.15,51.29,115.68
Manzanas,30.15,51.29,115.52
Manzanas,30.15,51.3,115.84
Manzanas,30.16,51.29,115.84
Manzanas,30.16,51.31,115.29
Manzanas,30.16,51.28,115.91
Manzanas,30.17,51.28,115.44
Manzanas,30.17,51.3,115.84
Manzanas,30.18,51.28,115.44
Manzanas,30.18,51.27,115.68
Manzanas,30.19,51.27,115.68
Manzanas,30.19,51.24,115.44
Manzanas,30.19,51.26,115.99
Manzanas,30.2,51.24,115.6
Manzanas,30.2,51.21,115.91
Manzanas,30.21,51.22,115.44
Manzanas,30.21,51.19,115.84
Manzanas,30.21,51.21,115.68
Manzanas,30.22,51.2,115.37
Manzanas,30.22,51.17,115.37
Manzanas,30.23,51.16,115.29
Manzanas,30.23,51.18,115.37
Manzanas,30.23,51.15,116.47
Manzanas,30.24,51.16,115.21
Manzanas,30.24,51.15,115.6
Manzanas,30.25,51.14,115.68
Manzanas,30.25,51.13,115.29
Manzanas,30.26,51.13,115.84
Manzanas,30.26,51.13,115.6
Manzanas,30.27,51.14,115.29
Manzanas,30.27,51.11,114.98
Manzanas,30.27,51.12,115.68
Manzanas,30.28,51.12,115.68
Manzanas,30.28,51.11,115.29
Manzanas,30.29,51.11,115.21
Manzanas,30.29,51.09,115.13
Manzanas,30.29,51.1,115.6
Manzanas,30.3,51.1,115.06
Manzanas,30.3,51.1,115.06
Manzanas,30.31,51.09,115.29
Manzanas,30.31,51.08,115.76
Manzanas,30.31,51.07,115.21
Manzanas,30.32,51.07,115.21
Manzanas,30.32,51.07,115.13
Manzanas,30.32,51.05,115.13
Manzanas,30.33,51.05,114.82
Manzanas,30.33,51.04,114.59
Manzanas,30.34,51.03,114.9
Manzanas,30.34,51.04,115.37
Manzanas,30.35,51.02,115.21
Manzanas,30.35,51.01,115.29
Manzanas,30.36,51.01,115.21
Manzanas,30.36,50.99,115.06
Manzanas,30.36,50.98,114.98
Manzanas,30.37,50.98,114.98
Manzanas,30.38,50.98,115.21
Manzanas,30.38,50.98,114.98
Manzanas,30.38,50.97,114.51
Manzanas,30.39,50.99,114.98
Manzanas,30.39,50.97,115.13
Manzanas,30.4,50.97,114.98
Manzanas,30.41,50.96,114.9
Manzanas,30.41,50.96,114.75
Manzanas,30.42,50.95,114.67
Manzanas,30.42,50.96,114.75
Manzanas,30.42,50.95,114.75
Manzanas,30.43,50.94,114.59
Manzanas,30.43,50.95,114.44
Manzanas,30.44,50.93,114.98
Manzanas,30.44,50.92,114.98
Manzanas,30.45,50.9,114.21
Manzanas,30.45,50.92,114.36
Manzanas,30.45,50.9,114.59
Manzanas,30.46,50.91,114.51
Manzanas,30.47,50.88,115.21
Manzanas,30.47,50.87,114.59
Manzanas,30.47,50.86,114.29
Manzanas,30.47,50.86,114.51
Manzanas,30.48,50.85,114.59
Manzanas,30.48,50.84,114.59
Manzanas,30.49,50.83,115.52
Manzanas,30.5,50.81,114.51
Manzanas,30.5,50.81,114.36
Manzanas,30.5,50.8,114.44
Manzanas,30.51,50.8,114.51
Manzanas,30.51,50.78,114.59
Manzanas,30.52,50.77,115.52
Manzanas,30.52,50.77,114.36
Manzanas,30.52,50.77,114.51
Manzanas,30.53,50.75,115.99
Manzanas,30.53,50.73,114.98
Manzanas,30.54,50.72,115.68
Manzanas,30.55,50.71,115.84
Manzanas,30.55,50.71,116.15
Manzanas,30.55,50.69,114.29
Manzanas,30.56,50.69,114.67
Manzanas,30.56,50.7,114.36
Manzanas,30.57,50.67,114.9
Manzanas,30.58,50.66,114.21
Manzanas,30.58,50.67,114.21
Manzanas,30.59,50.66,114.75
Manzanas,30.59,50.65,115.76
Manzanas,30.59,50.65,115.76
Manzanas,30.6,50.65,115.84
Manzanas,30.6,50.64,115.76
Manzanas,30.6,50.62,115.13
Manzanas,30.61,50.62,113.98
Manzanas,30.61,50.63,113.83
Manzanas,30.62,50.6,114.13
Manzanas,30.62,50.59,114.36
Manzanas,30.63,50.58,114.9
Manzanas,30.63,50.58,113.9
