Label,Temperatura,Humedad,Presion,ResistenciaGas
Alcohol,28.92,46.77,42949532.00,5.68
Alcohol,28.93,46.70,42949532.00,5.68
Alcohol,28.95,46.66,42949532.00,5.68
Alcohol,28.96,46.62,42949532.00,5.68
Alcohol,28.98,46.56,42949532.00,5.68
Alcohol,28.99,46.52,42949532.00,5.68
Alcohol,29.01,46.49,42949532.00,5.68
Alcohol,29.02,46.43,42949532.00,5.68
Alcohol,29.04,46.39,42949532.00,5.68
Alcohol,29.05,46.34,42949532.00,5.68
Alcohol,29.07,46.28,42949532.00,5.68
Alcohol,29.09,46.24,42949532.00,5.68
Alcohol,29.10,46.20,42949532.00,5.68
Alcohol,29.12,46.15,42949532.00,5.68
Alcohol,29.14,46.12,42949532.00,5.68
Alcohol,29.16,46.10,42949532.00,5.68
Alcohol,29.18,46.05,42949532.00,5.68
Alcohol,29.22,45.99,42949532.00,5.68
Alcohol,29.25,45.91,42949532.00,5.68
Alcohol,29.27,45.87,42949532.00,5.68
Alcohol,29.29,45.81,42949532.00,5.68
Alcohol,29.31,45.77,42949532.00,5.68
Alcohol,29.33,45.72,42949532.00,5.68
Alcohol,29.34,45.68,42949532.00,5.68
Alcohol,29.36,45.64,42949532.00,5.68
Alcohol,29.38,45.61,42949532.00,5.68
Alcohol,29.39,45.57,42949532.00,5.68
Alcohol,29.41,45.55,42949532.00,5.68
Alcohol,29.42,45.52,42949532.00,5.68
Alcohol,29.44,45.49,42949532.00,5.68
Alcohol,29.46,45.46,42949532.00,5.68
Alcohol,29.47,45.43,42949532.00,5.68
Alcohol,29.49,45.41,42949532.00,5.68
Alcohol,29.50,45.39,42949532.00,5.68
Alcohol,29.51,45.37,42949532.00,5.68
Alcohol,29.53,45.33,42949532.00,5.68
Alcohol,29.55,45.32,42949532.00,5.68
Alcohol,29.56,45.29,42949532.00,5.68
Alcohol,29.58,45.25,42949532.00,5.68
Alcohol,29.60,45.24,42949532.00,5.68
Alcohol,29.61,45.21,42949532.00,5.68
Alcohol,29.63,45.18,42949532.00,5.68
Alcohol,29.64,45.15,42949532.00,5.68
Alcohol,29.66,45.14,42949532.00,5.68
Alcohol,29.68,45.10,42949532.00,5.68
Alcohol,29.69,45.07,42949532.00,5.68
Alcohol,29.71,45.04,42949532.00,5.68
Alcohol,29.72,45.01,42949532.00,5.68
Alcohol,29.74,44.98,42949532.00,5.68
Alcohol,29.76,44.96,42949532.00,5.68
Alcohol,29.77,44.92,42949532.00,5.68
Alcohol,29.79,44.89,42949532.00,5.68
Alcohol,29.81,44.85,42949532.00,5.68
Alcohol,29.82,44.83,42949532.00,5.68
Alcohol,29.84,44.80,42949532.00,5.68
Alcohol,29.85,44.78,42949532.00,5.68
Alcohol,29.87,44.74,42949532.00,5.68
Alcohol,29.90,44.71,42949532.00,5.68
Alcohol,29.93,44.66,42949532.00,5.68
Alcohol,29.95,44.63,42949532.00,5.68
Alcohol,29.97,44.61,42949532.00,5.68
Alcohol,29.98,44.56,42949532.00,5.68
Alcohol,30.00,44.53,42949532.00,5.68
Alcohol,30.01,44.43,42949532.00,5.68
